UWI,TOP HOLE UTMX,TOP HOLE UTMY,BOTTOM HOLE UTMX,BOTTOM HOLE UTMY, WPGS  - TORQ  Grid  UTMX, WPGS  - TORQ  Grid  UTMY, WPGS  - TORQ  Grid  ,WPGS  top amp-base amp AMP Grid  UTMX,WPGS  TOP - BASE amp AMP Grid  UTMY,WPGS TOP - BASE Grid ,WPGS  Tr SM AMP Grid  UTMX,WPGS  Tr SM AMP Grid  UTMY,WPGS TROUGH Grid  ,WPGS  Top Peak Amp minus Trough amp  UTMX,WPGS  Top Peak Amp minus Trough amp  UTMY,WPGS Peak - Trough  ,WPGS  Lwr to TORQ,WPGS LWR
100010306003W600,411823.4612,6001464.874,411796.39,6001700.443,411797.1633,6001699.214,109.353783,411797.1633,6001699.214,-589.672607,411797.1633,6001699.214,-25637.52344,411797.1633,6001699.214,47130.21875,26.907578,16.459
100012006003W600,408475.466,6006462.85,408492.8363,6006510.612,408475.4633,6006505.582,108.266243,408475.4633,6006505.582,2413.854736,408475.4633,6006505.582,-35735.46094,408475.4633,6006505.582,59056.46484,20.453643,8.749024
100012605903W600,413280.914,5998150.485,413280.914,5998150.485,413280.914,5998150.485,97.08033,413280.914,5998150.485,-10911.14063,413280.914,5998150.485,-10890.44043,413280.914,5998150.485,19103.27539,18.66,11.43
100013305903W600,410004.0934,5999867.068,409878.6557,6000128.395,409873.4002,6000130.387,106.090698,409873.4002,6000130.387,-7458.17334,409873.4002,6000130.387,-23462.37305,409873.4002,6000130.387,39745.46484,22.217426,13.259
100013505903W600,413338.6543,6000130.423,413068.3825,6000020.975,413056.878,6000030.825,106.667526,413056.878,6000030.825,-10786.19922,413056.878,6000030.825,-15365.00781,413056.878,6000030.825,27083.4541,21.809503,19.355
100013606003W600,415165.7153,6009617.72,415220.0251,6009722.276,415168.1058,6009598.046,,415168.1058,6009598.046,,415168.1058,6009598.046,,415168.1058,6009598.046,,25.905336,17.526
100020206004W600,402964.3784,6001393.943,402971.2545,6001872.397,402979.3041,6001875.124,108.943375,402979.3041,6001875.124,7702.912109,402979.3041,6001875.124,-17120.70703,402979.3041,6001875.124,36237.75977,20.024538,7.925
100020706102W600,416965.157,6014123.716,416513.1137,6012813.206,416969.7295,6014147.444,,,,,,,,,,,22.185788,
100021106003W600,413000.6431,6002652.391,413005.2982,6002954.238,413000.3116,6002946.452,104.499199,413000.3116,6002946.452,-6775.463867,413000.3116,6002946.452,-22156.12891,413000.3116,6002946.452,37763.82715,25.506008,20.574
100023405903W600,411344.6369,5999889.484,411355.6316,5999882.05,411346.4766,5999880.547,104.396301,411346.4766,5999880.547,-9362.40332,411346.4766,5999880.547,-20940.80664,411346.4766,5999880.547,36346.75781,24.398225,13.464024
100030506003W600,407548.4672,6001342.209,407502.0851,6001547.426,407491.2337,6001538.997,101.15921,407491.2337,6001538.997,-20889.97656,407491.2337,6001538.997,-37428.46094,407491.2337,6001538.997,50080.53516,10.475843,3.2
100030606104W600,396277.4772,6011719.569,396277.4772,6011719.569,396277.4772,6011719.569,,396277.4772,6011719.569,,396277.4772,6011719.569,,396277.4772,6011719.569,,,12.802
100032305904W600,402399.3725,5996991.677,402399.3725,5996991.677,402399.3725,5996991.677,109.180321,402399.3725,5996991.677,-2746.29834,402399.3725,5996991.677,-7597.946777,402399.3725,5996991.677,15302.0835,24.390024,11.734024
100032605903W600,413249.8951,5998087.126,412452.6999,5998302.774,412426.5348,5998294.164,98.597183,412426.5348,5998294.164,-5179.711914,412426.5348,5998294.164,-15932.00977,412426.5348,5998294.164,28832.9502,21.04005,17.374
100040106003W600,413631.9193,6000358.097,413677.0573,6001529.087,413678.2317,6001526.599,103.677071,413678.2317,6001526.599,-5609.461426,413678.2317,6001526.599,-17465.46484,413678.2317,6001526.599,31672.64063,24.498351,23.47
100040606102W600,415585.0418,6010984.259,415585.0418,6010984.259,415585.0418,6010984.259,,415585.0418,6010984.259,,415585.0418,6010984.259,,415585.0418,6010984.259,,25.67,6.096
100041306004W600,403461.9842,6004412.688,403817.3441,6005016.876,403815.1834,6005008.986,111.990746,403815.1834,6005008.986,7830.804688,403815.1834,6005008.986,-27137.40039,403815.1834,6005008.986,49027.26758,19.01066,15.353
100043405904W600,401803.504,6001090.356,400681.6463,6000114.489,400679.1757,6000105.202,106.831955,400679.1757,6000105.202,14900.66211,400679.1757,6000105.202,-12219.66406,400679.1757,6000105.202,38595.88672,19.515711,18.456
100050106003W600,412997.5006,6002646.871,413858.9249,6002020.225,413858.0267,6002015.812,102.657127,413858.0267,6002015.812,-9293.708008,413858.0267,6002015.812,-18042.37695,413858.0267,6002015.812,30578.68848,22.58,19.964
100051006004W600,402210.0623,6003199.13,400722.3935,6003814.005,402134.831,6003165.237,111.105133,402134.831,6003165.237,13282.17188,402134.831,6003165.237,-14867.23145,402134.831,6003165.237,41126.71777,,
100051206003W600,413640.8147,6003629.667,413869.8057,6003643.131,413867.8613,6003643.544,105.143951,413867.8613,6003643.544,-11058.48047,413867.8613,6003643.544,-19397.94531,413867.8613,6003643.544,31435.73145,20.619791,11.887
100051506004W600,400015.2196,6004997.742,400583.1939,6005262.5,400574.5566,6005252.751,114.173622,400574.5566,6005252.751,38543.36328,400574.5566,6005252.751,-21362.81055,400574.5566,6005252.751,58611.77539,34.07692,29.108
100052505903W600,413268.6755,5998088.867,413830.4035,5998840.605,413824.1961,5998834.872,97.77169,413824.1961,5998834.872,-8987.676758,413824.1961,5998834.872,-11320.24609,413824.1961,5998834.872,17494.97656,15.555007,8.992
100052505904W600,403653.2963,5999215.104,403674.6084,5998935.851,403667.31,5998933.351,103.698982,403667.31,5998933.351,-19121.6543,403667.31,5998933.351,-17017.90039,403667.31,5998933.351,25987.85156,17.339661,10
100053505903W600,411968.233,6000798.16,411930.0758,6000261.052,411931.4798,6000259.495,104.836739,411931.4798,6000259.495,-5691.165527,411931.4798,6000259.495,-23805.16992,411931.4798,6000259.495,43585.96289,28.078516,20.117
100060306103W600,410903.53,6011536.678,410894.478,6011524.222,410890.8002,6011522.24,,410890.8002,6011522.24,,410890.8002,6011522.24,,410890.8002,6011522.24,,16.879246,8.187
100060506103W600,407815.2312,6011572.413,407815.2312,6011572.413,407815.2312,6011572.413,,407815.2312,6011572.413,,407815.2312,6011572.413,,407815.2312,6011572.413,,23.63,16.154
100061105903W600,412398.9033,5993583.539,412495.4903,5993729.111,412368.6232,5993596.783,89.244469,412368.6232,5993596.783,-18740.80469,412368.6232,5993596.783,-19238.85156,412368.6232,5993596.783,25858.54443,9.659521,1.725049
100063006003W600,405869.4985,6008436.038,405869.4985,6008436.038,405869.4985,6008436.038,115.018288,405869.4985,6008436.038,13259.27637,405869.4985,6008436.038,-32709.14063,405869.4985,6008436.038,59724.11328,24.17,22.25
